game_year,out_zone_swing%,zone_swing%,swing%,out_zone_contact%,zone_contact%,contact%,zone%,first_pitch_strike%,first_pitch_swing%,swstr%,cstr%,csw%,gb%,fb%,ld%,pu%,exitspeed_avg,angle_avg,exitspeed_max
2015,29.7,66.2,47.1,61.7,84.6,77.0,47.5,49.8,29.0,10.8,16.9,27.7,46.1,20.2,27.0,6.7,142.0,10.9,193.6
2016,29.3,65.8,46.7,60.9,83.9,76.4,47.8,49.6,28.5,11.0,16.9,27.9,45.3,21.6,26.1,7.0,142.5,11.6,193.3
2017,28.9,66.0,46.8,59.8,83.2,75.7,48.2,50.1,28.8,11.4,16.8,28.1,44.6,22.8,25.5,7.1,140.6,11.8,196.7
2018,29.0,66.2,46.9,58.3,83.0,75.1,48.1,50.3,29.1,11.7,16.8,28.5,43.699999999999996,23.5,25.4,7.4,142.3,12.3,195.9
2019,28.9,67.2,47.3,57.5,82.2,74.3,48.1,50.6,30.1,12.1,16.4,28.6,43.2,24.1,25.4,7.3,142.8,12.7,194.1
2020,27.7,66.3,46.1,55.8,81.3,73.3,47.7,50.0,28.9,12.3,16.8,29.1,43.3,24.2,25.2,7.3,142.3,12.7,195.2
2021,28.6,67.5,47.5,56.6,81.8,74.0,48.5,50.2,30.6,12.3,16.4,28.8,43.199999999999996,26.0,23.9,6.9,142.8,12.5,196.7
2022,29.2,67.3,47.9,57.2,82.3,74.4,49.0,50.7,31.1,12.2,16.4,28.6,43.1,26.0,23.9,7.0,142.5,12.7,197.0
2023,28.5,67.0,47.5,55.7,82.2,74.2,49.5,50.8,31.1,12.3,16.4,28.7,42.7,26.4,24.1,6.8,143.2,12.8,195.1
2024,28.7,67.6,48.0,56.0,82.7,74.7,49.6,51.2,32.2,12.2,16.4,28.5,42.3,26.7,23.9,7.1,142.9,13.3,195.5
