batter_name_id,batter,batter_name_new,pitch,pa,ab,game_year,out_zone_swing%,zone_swing%,swing%,zone%,out_zone_contact%,zone_contact%,contact%,first_pitch_strike%,first_pitch_swing%,swstr%,cstr%,csw%,out_zone_swing%_std,zone_swing%_std,swing%_std,out_zone_contact%_std,zone_contact%_std,contact%_std,first_pitch_swing%_std,swstr%_std,cstr%_std,csw%_std,out_zone_swing%_std_percentile,zone_swing%_std_percentile,swing%_std_percentile,out_zone_contact%_std_percentile,zone_contact%_std_percentile,contact%_std_percentile,first_pitch_swing%_std_percentile,swstr%_std_percentile,cstr%_std_percentile,csw%_std_percentile
A.J. Burnett_150359_2015,150359,A.J. Burnett,179,52,42,2015,33.8,53.5,46.4,63.7,45.5,80.3,71.1,55.8,21.2,13.4,27.9,41.3,0.2049603374004547,-0.7144856753845545,-0.1476309508633911,-0.24879289431376111,0.030550588508744873,-0.10555371703851466,-0.4744341805361818,0.0553784051037151,0.855098079311078,0.7173358390937842,35,15,43,28,37,36,26,39,88,85
A.J. Cole_595918_2015,595918,A.J. Cole,5,2,2,2015,33.3,100.0,60.0,40.0,100.0,50.0,66.7,0.0,100.0,20.0,0.0,20.0,0.1731766329050218,2.4460706123643985,1.029103902321234,1.8757632183963397,-1.5762132309537862,-0.3582528581400412,3.9226142487708153,0.771646348038579,-2.0310754672714513,-1.0239153736476647,38,98,90,97,6,23,99,14,2,5
A.J. Ellis_454560_2015,454560,A.J. Ellis,930,216,180,2015,13.4,55.7,35.4,51.9,65.0,87.4,83.3,48.9,16.9,5.9,23.0,28.9,-1.091814806013206,-0.5649539800501953,-1.0994017879980145,0.5113693845458163,0.40705300165013053,0.5951120832884469,-0.714374640511056,-0.7585624391404485,0.3482073847499887,-0.29635031292471187,91,17,8,69,68,80,20,87,78,44
A.J. Pierzynski_150229_2015,150229,A.J. Pierzynski,1451,433,404,2015,39.8,75.8,54.8,41.6,80.1,90.0,85.8,41.6,34.3,7.8,10.8,18.6,0.5863647913456491,0.8012219636864485,0.5791758702212302,1.100007867149899,0.5449271247723276,0.7386911407324963,0.2565472207826209,-0.5523640919319271,-0.913846997626601,-1.138363810165882,20,88,82,92,77,86,66,78,7,4
AJ Pollock_572041_2015,572041,AJ Pollock,2360,671,607,2015,30.0,63.8,46.4,48.4,63.0,92.9,82.9,48.7,29.1,7.9,18.4,26.4,-0.036595816764834956,-0.014405465410055482,-0.1476309508633911,0.43340402261150063,0.6987098005624711,0.5721394340973994,-0.03361333546606398,-0.5415115473420049,-0.1276491856542994,-0.5007225209929571,51,43,43,66,86,79,49,77,54,25
Aaron Altherr_571437_2015,571437,Aaron Altherr,638,161,137,2015,21.0,63.3,41.2,47.8,48.6,83.9,74.5,47.8,21.7,10.5,18.7,29.2,-0.6087024976826266,-0.04838994162240982,-0.5975589829633945,-0.12794658331557182,0.22145322052409555,0.08971380108539294,-0.4465341270507313,-0.25934538800402823,-0.09661506149749793,-0.27182564795652236,83,40,17,33,51,46,27,59,56,46
Aaron Brooks_605156_2015,605156,Aaron Brooks,10,2,2,2015,0.0,50.0,30.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,20.0,20.0,-1.9436180864908073,-0.9523770088710348,-1.5666347444095565,-2.0225048783194417,1.075212213703856,1.5542201870146974,-1.6573964483192825,-1.3988625699458572,0.03786614318197482,-1.0239153736476647,96,11,5,7,94,96,6,96,65,5
Aaron Harang_421685_2015,421685,Aaron Harang,188,58,48,2015,35.2,77.0,57.4,53.2,38.7,84.4,71.3,51.7,53.4,16.5,14.9,31.4,0.2939547099876671,0.8827847065960991,0.8041398862712322,-0.5138751248904341,0.24796747497067198,-0.09406739244299053,1.3223292639268296,0.3918072873913027,-0.48971396748364876,-0.09197810485646667,30,90,87,21,53,36,94,24,25,60
Aaron Hicks_543305_2015,543305,Aaron Hicks,1507,389,351,2015,22.9,68.0,44.9,48.9,59.1,87.0,79.8,45.9,31.0,9.1,15.7,24.8,-0.4879244205999818,0.2710641347737211,-0.27741788319993066,0.2813715668395852,0.38584159809286905,0.39410140286677764,0.0724068677786478,-0.4112810122629388,-0.40695630306551184,-0.6315207341566338,79,63,35,55,67,68,55,71,31,15
Aaron Hill_431094_2015,431094,Aaron Hill,1291,353,313,2015,24.5,64.1,43.7,48.5,63.8,91.3,83.3,47.0,24.6,7.3,18.7,26.0,-0.38621656621459655,0.005985220317356924,-0.38124742906916187,0.4645901673852268,0.6138641863334261,0.5951120832884469,-0.28471381683511837,-0.606626814881538,-0.09661506149749793,-0.5334220742838762,74,44,28,67,82,80,35,80,56,22
Aaron Laffey_444836_2015,444836,Aaron Laffey,9,2,2,2015,20.0,75.0,44.4,44.4,0.0,66.7,50.0,100.0,50.0,22.2,11.1,33.3,-0.6722699066734924,0.7468468017466817,-0.3206801939787772,-2.0225048783194417,-0.6906371324381335,-1.3173609618662918,1.1326089002257664,1.0104023290168669,-0.8828128734697998,0.06334477327539957,86,86,32,7,13,7,91,11,8,68
Aaron Nola_605400_2015,605400,Aaron Nola,108,26,23,2015,20.9,47.7,37.0,60.2,33.3,71.0,62.5,57.7,15.4,13.9,34.3,48.1,-0.6150592385817133,-1.1087055994478645,-0.9609623935057054,-0.7243816021130866,-0.4626145441975764,-0.5994656746460445,-0.7980748009674075,0.109641128053326,1.517159394656174,1.2732282450394115,83,8,9,18,16,16,17,38,94,90
Abraham Almonte_501659_2015,501659,Abraham Almonte,979,258,232,2015,29.8,67.1,47.3,46.9,59.4,83.4,75.4,48.8,37.2,11.6,15.5,27.2,-0.04930929856300806,0.20989207759148293,-0.0697587914614675,0.29306637112973244,0.19493896607751915,0.14140226176525106,0.418367530998234,-0.13996739751488424,-0.427645719170046,-0.43532341441111855,53,59,47,56,49,51,74,51,30,30
Adam Conley_543045_2015,543045,Adam Conley,61,22,18,2015,41.7,73.0,60.7,60.7,50.0,70.4,64.9,54.5,36.4,21.3,19.7,41.0,0.7071428684282944,0.6109088968972645,1.0896711374116195,-0.07337082996155095,-0.4944316495334678,-0.46162977949975664,0.373727445421513,0.9127294277075675,0.006832019025173358,0.692811174125595,17,81,91,36,16,19,72,12,63,84
Adam Duvall_594807_2015,594807,Adam Duvall,278,71,63,2015,34.0,67.2,48.2,42.8,44.4,81.2,66.4,52.8,34.7,16.2,17.6,33.8,0.21767381919862802,0.21668897283395436,0.008113367940456716,-0.29167384337763474,0.07827624651258273,-0.375482345033327,0.27886726357098157,0.35924965362153605,-0.21040685007243615,0.1042192148890486,34,59,52,26,40,21,67,25,48,70
Adam Eaton_594809_2015,594809,Adam Eaton,2784,686,607,2015,28.7,59.6,44.1,49.7,69.7,87.0,81.3,50.3,22.8,8.2,20.0,28.2,-0.11923344845296047,-0.2998750655938316,-0.34663758044608484,0.6945879850914581,0.38584159809286905,0.4802488373332073,-0.3851540093827402,-0.5089539135722385,0.03786614318197482,-0.3535745311838205,57,27,30,80,67,74,30,76,65,37
Adam Jones_430945_2015,430945,Adam Jones,1992,575,541,2015,45.3,80.3,60.5,43.4,62.7,85.5,75.9,50.7,45.5,14.6,9.1,23.7,0.9359855407954107,1.1070822495976376,1.0723662131000806,0.4217092183213534,0.3062988347531398,0.17011807325406095,0.8815084188567119,0.1856089401827812,-1.0897070345151423,-0.7214445057066619,13,94,91,65,59,53,87,34,4,10
Adam LaRoche_425560_2015,425560,Adam LaRoche,1907,482,427,2015,25.5,64.0,43.3,46.1,51.9,84.2,73.9,48.8,27.9,11.3,18.0,29.3,-0.3226491572237308,-0.0008116749251135559,-0.4158572776922396,0.0006962638760488445,0.23736177319204127,0.05525482729882139,-0.10057346383114531,-0.1725250312846507,-0.16902801786336777,-0.2636507596337925,70,44,26,40,53,45,46,53,51,47
Adam Liberatore_571893_2015,571893,Adam Liberatore,8,2,2,2015,0.0,0.0,0.0,75.0,0.0,0.0,0.0,100.0,0.0,0.0,75.0,75.0,-1.9436180864908073,-4.350824630106468,-4.162373391140347,-2.0225048783194417,-4.227638675611428,-4.188942110747281,-1.6573964483192825,-1.3988625699458572,5.727455571928896,3.47227320385373,96,1,1,7,2,2,6,96,99,98
Adam Lind_452252_2015,452252,Adam Lind,2254,572,502,2015,33.4,60.2,44.4,41.1,67.9,87.5,78.8,47.6,17.8,9.4,18.2,27.6,0.17953337380410847,-0.2590936941390063,-0.3206801939787772,0.6244191593505741,0.4123558525394455,0.33666977988915786,-0.6641545442372451,-0.37872337849317217,-0.1483386017588336,-0.40262386112019916,36,29,32,77,68,65,21,69,52,33
Adam Loewen_429400_2015,429400,Adam Loewen,9,3,3,2015,20.0,75.0,44.4,44.4,0.0,100.0,75.0,33.3,0.0,11.1,22.2,33.3,-0.6722699066734924,0.7468468017466817,-0.3206801939787772,-2.0225048783194417,1.075212213703856,0.11842961257420283,-1.6573964483192825,-0.19423012046449517,0.2654497203318516,0.06334477327539957,86,86,32,7,94,50,6,54,76,68
Adam Moore_446192_2015,446192,Adam Moore,15,4,4,2015,33.3,77.8,60.0,60.0,100.0,57.1,66.7,75.0,50.0,20.0,13.3,33.3,0.1731766329050218,0.9371598685358659,1.029103902321234,1.8757632183963397,-1.199710817812401,-0.3582528581400412,1.1326089002257664,0.771646348038579,-0.6552292963199228,0.06334477327539957,38,91,90,97,8,23,91,14,15,68
Adam Morgan_605388_2015,605388,Adam Morgan,92,27,26,2015,31.8,62.5,47.8,52.2,35.7,73.3,61.4,50.0,19.2,18.5,26.1,44.6,0.07782551941872343,-0.10276510356217655,-0.026496480682620987,-0.6308231677919076,-0.34064897374332503,-0.6626404599214263,-0.5860343944779838,0.6088581791897463,0.6688933343702699,0.9871071537438683,44,37,50,20,19,15,23,17,86,89
Adam Rosales_489267_2015,489267,Adam Rosales,507,125,114,2015,19.5,65.1,41.2,47.5,55.8,79.0,73.2,49.6,24.0,11.0,19.7,30.8,-0.7040536111689253,0.07395417274206559,-0.5975589829633945,0.15272871964796425,-0.038386473052353674,0.01505269121448738,-0.31819388101765905,-0.2050826650544173,0.006832019025173358,-0.14102743479284535,87,49,17,48,32,41,34,56,63,55
Adam Wainwright_425794_2015,425794,Adam Wainwright,30,10,10,2015,64.3,81.2,73.3,53.3,77.8,76.9,77.3,60.0,50.0,16.7,13.3,30.0,2.1437663116218597,1.1682543067798756,2.1798813690385512,1.0103477009254362,-0.14974634172797435,0.25052234542272817,1.1326089002257664,0.413512376571147,-0.6552292963199228,-0.20642654137468386,5,94,97,90,27,59,91,23,15,51
Adam Warren_476589_2015,476589,Adam Warren,14,3,3,2015,25.0,60.0,50.0,71.4,100.0,83.3,85.7,100.0,0.0,7.1,28.6,35.7,-0.35443286171916366,-0.2726874846239482,0.16385768674430393,1.8757632183963397,0.1896361151882034,0.7329479784347347,-1.6573964483192825,-0.6283319040613824,0.9275110356769481,0.2595420930209154,72,28,64,97,48,85,6,82,89,74
Addison Reed_592665_2015,592665,Addison Reed,8,2,2,2015,66.7,60.0,62.5,62.5,50.0,66.7,60.0,100.0,0.0,25.0,25.0,50.0,2.296328093199938,-0.2726874846239482,1.2454154562154667,-0.07337082996155095,-0.6906371324381335,-0.7430447320900939,-1.6573964483192825,1.314273577534688,0.5551015457953313,1.4285511231712777,4,28,93,36,13,13,6,8,84,92
Addison Russell_608365_2015,608365,Addison Russell,2149,521,473,2015,28.9,68.8,47.9,47.6,45.5,79.4,68.7,52.5,29.9,15.0,16.1,31.1,-0.10651996665478736,0.3254392967134878,-0.017844018526851562,-0.24879289431376111,-0.017175069495092232,-0.24338961218480165,0.011026750110656642,0.22901911854246998,-0.3655774708564431,-0.11650276982465586,56,66,50,28,33,29,52,32,35,57
Adeiny Hechavarría_588751_2015,588751,Adeiny Hechavarría,1672,496,467,2015,33.9,71.5,52.6,49.6,74.8,84.5,81.3,48.2,37.6,9.8,15.3,25.1,0.21131707829954136,0.5089554682602014,0.3888217027943059,0.8933996580239627,0.253270325859987,0.4802488373332073,0.4406875737865943,-0.3353132001334834,-0.4483351352745802,-0.6069960691884443,34,78,76,87,54,74,75,66,28,17
Adonis García_611177_2015,611177,Adonis García,708,198,191,2015,36.3,72.6,54.1,49.0,63.4,85.3,77.8,52.0,32.3,12.0,14.7,26.7,0.36387885987761903,0.5837213159273805,0.5186086351308454,0.4489970949983637,0.2956931329745091,0.279238156911538,0.1449470068408189,-0.09655721915519548,-0.5104033835881832,-0.4761978560247676,27,80,81,67,58,62,58,49,24,27
Adrian Beltré_134181_2015,134181,Adrian Beltré,2286,619,567,2015,35.9,62.3,48.1,46.3,73.9,89.5,83.3,49.7,23.9,8.0,17.7,25.7,0.3384518962812728,-0.11635889404711848,-0.00053909421531271,0.858315245153521,0.5184128703257512,0.5951120832884469,-0.32377389171474924,-0.5306590027520828,-0.20006214202016923,-0.5579467392520656,28,35,52,86,75,80,33,77,49,20
Adrián González_408236_2015,408236,Adrián González,2483,640,569,2015,31.0,73.8,49.8,43.9,63.3,86.5,78.4,43.2,29.8,10.8,12.1,22.9,0.026971592226030783,0.6652840588370311,0.14655276243276508,0.44509882690164787,0.35932734364629265,0.3136971306981104,0.005446739413566663,-0.2267877542342616,-0.7793657929471285,-0.7868436122885003,47,83,61,66,64,64,52,57,10,8
Albert Pujols_405395_2015,405395,Albert Pujols,2513,656,597,2015,28.8,63.5,45.4,48.0,70.2,90.3,83.7,48.5,18.3,7.4,17.9,25.3,-0.1128767075538738,-0.03479615113746789,-0.23415557242108412,0.714079325575037,0.5608356774402733,0.6180847324794951,-0.6362544907517945,-0.5957742702916158,-0.17937272591563505,-0.5906462925429847,57,41,37,81,79,82,22,80,50,18
